"indicator_value__|","indicator_value__|__44206__1990","indicator_value__|__44206__1995","indicator_value__|__44206__2000","indicator_value__|__44206__2005","indicator_value__|__44206__2010","indicator_value__|__44206__2011","indicator_value__|__44206__2012","indicator_value__|__44206__2013","indicator_value__|__44206__2014","indicator_value__|__44206__2015","indicator_value__|__44206__2016","indicator_value__|__44206__2017","indicator_value__|__44206__2018","indicator_value__|__44206__2019","indicator_value__|__44206__2030","country_name__AFG","country_name__AGO","country_name__ALB","country_name__AND","country_name__ARE","country_name__ARG","country_name__ARM","country_name__ATG","country_name__AUS","country_name__AUT","country_name__AZE","country_name__BDI","country_name__BEL","country_name__BEN","country_name__BFA","country_name__BGD","country_name__BGR","country_name__BHR","country_name__BHS","country_name__BIH","country_name__BLR","country_name__BLZ","country_name__BOL","country_name__BRA","country_name__BRB","country_name__BRN","country_name__BTN","country_name__BWA","country_name__CAF","country_name__CAN","country_name__CHE","country_name__CHL","country_name__CHN","country_name__CIV","country_name__CMR","country_name__COD","country_name__COG","country_name__COL","country_name__COM","country_name__CPV","country_name__CRI","country_name__CUB","country_name__CYP","country_name__CZE","country_name__DEU","country_name__DJI","country_name__DMA","country_name__DNK","country_name__DOM","country_name__DZA","country_name__ECU","country_name__EGY","country_name__ERI","country_name__ESP","country_name__EST","country_name__ETH","country_name__FIN","country_name__FJI","country_name__FRA","country_name__FSM","country_name__GAB","country_name__GBR","country_name__GEO","country_name__GHA","country_name__GIN","country_name__GMB","country_name__GNB","country_name__GNQ","country_name__GRC","country_name__GRD","country_name__GTM","country_name__GUY","country_name__HKG","country_name__HND","country_name__HRV","country_name__HTI","country_name__HUN","country_name__IDN","country_name__IND","country_name__IRL","country_name__IRN","country_name__IRQ","country_name__ISL","country_name__ISR","country_name__ITA","country_name__JAM","country_name__JOR","country_name__JPN","country_name__KAZ","country_name__KEN","country_name__KGZ","country_name__KHM","country_name__KIR","country_name__KNA","country_name__KOR","country_name__KWT","country_name__LAO","country_name__LBN","country_name__LBR","country_name__LBY","country_name__LCA","country_name__LIE","country_name__LKA","country_name__LSO","country_name__LTU","country_name__LUX","country_name__LVA","country_name__MAR","country_name__MCO","country_name__MDA","country_name__MDG","country_name__MDV","country_name__MEX","country_name__MHL","country_name__MKD","country_name__MLI","country_name__MLT","country_name__MMR","country_name__MNE","country_name__MNG","country_name__MOZ","country_name__MRT","country_name__MUS","country_name__MWI","country_name__MYS","country_name__NAM","country_name__NER","country_name__NGA","country_name__NIC","country_name__NLD","country_name__NOR","country_name__NPL","country_name__NRU","country_name__NZL","country_name__OMN","country_name__PAK","country_name__PAN","country_name__PER","country_name__PHL","country_name__PLW","country_name__PNG","country_name__POL","country_name__PRK","country_name__PRT","country_name__PRY","country_name__PSE","country_name__QAT","country_name__ROU","country_name__RUS","country_name__RWA","country_name__SAU","country_name__SDN","country_name__SEN","country_name__SGP","country_name__SLB","country_name__SLE","country_name__SLV","country_name__SMR","country_name__SOM","country_name__SRB","country_name__SSD","country_name__STP","country_name__SUR","country_name__SVK","country_name__SVN","country_name__SWE","country_name__SWZ","country_name__SYC","country_name__SYR","country_name__TCD","country_name__TGO","country_name__THA","country_name__TJK","country_name__TKM","country_name__TLS","country_name__TON","country_name__TTO","country_name__TUN","country_name__TUR","country_name__TUV","country_name__TZA","country_name__UGA","country_name__UKR","country_name__URY","country_name__USA","country_name__UZB","country_name__VCT","country_name__VEN","country_name__VNM","country_name__VUT","country_name__WSM","country_name__YEM","country_name__ZAF","country_name__ZMB","country_name__ZWE","indicator_name__44206"
"SOM","7.225","7.492","8.872","10.447","12.044","12.376","12.715","13.064","13.424","13.797","14.186","14.589","15.008","15.443","21.191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SRB","9.518","9.884","9.488","9.194","8.991","8.964","8.94","8.919","8.898","8.877","8.854","8.83","8.803","8.772","8.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SSD","5.493","5.118","6.199","7.536","9.508","9.831","10.114","10.355","10.555","10.716","10.833","10.911","10.976","11.062","13.839","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STP","0.119","0.132","0.142","0.157","0.18","0.185","0.188","0.192","0.196","0.199","0.203","0.207","0.211","0.215","0.268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUR","0.405","0.442","0.471","0.499","0.529","0.535","0.541","0.547","0.553","0.559","0.565","0.571","0.576","0.581","0.632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVK","5.288","5.375","5.399","5.399","5.404","5.409","5.415","5.422","5.429","5.436","5.442","5.448","5.453","5.457","5.403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVN","2.006","1.991","1.988","1.995","2.043","2.051","2.058","2.063","2.067","2.071","2.074","2.076","2.078","2.079","2.056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWE","8.567","8.836","8.882","9.039","9.39","9.467","9.543","9.618","9.692","9.765","9.836","9.905","9.972","10.036","10.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWZ","0.822","0.927","1.005","1.031","1.065","1.072","1.079","1.087","1.095","1.104","1.114","1.125","1.136","1.148","1.298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYC","0.071","0.077","0.081","0.089","0.091","0.092","0.093","0.093","0.094","0.095","0.096","0.096","0.097","0.098","0.103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SYR","12.446","14.345","16.411","18.361","21.363","21.082","20.439","19.578","18.711","17.997","17.466","17.096","16.945","17.07","26.677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCD","5.963","7.01","8.356","10.097","11.952","12.361","12.785","13.22","13.664","14.111","14.562","15.017","15.478","15.947","21.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGO","3.774","4.226","4.924","5.612","6.422","6.596","6.774","6.955","7.138","7.323","7.51","7.698","7.889","8.082","10.422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"THA","56.558","59.467","62.953","65.416","67.195","67.518","67.836","68.145","68.439","68.715","68.971","69.21","69.428","69.626","70.346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJK","5.284","5.765","6.216","6.789","7.527","7.698","7.875","8.06","8.253","8.454","8.664","8.88","9.101","9.321","11.557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKM","3.684","4.208","4.516","4.755","5.087","5.174","5.268","5.366","5.466","5.565","5.662","5.758","5.851","5.942","6.782","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TLS","0.738","0.844","0.884","0.995","1.094","1.113","1.133","1.153","1.174","1.196","1.219","1.243","1.268","1.293","1.574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TON","0.095","0.096","0.098","0.101","0.104","0.104","0.103","0.102","0.101","0.101","0.101","0.102","0.103","0.104","0.116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTO","1.221","1.254","1.267","1.296","1.328","1.336","1.345","1.354","1.362","1.37","1.378","1.384","1.39","1.395","1.413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUN","8.243","9.125","9.708","10.107","10.635","10.742","10.847","10.953","11.063","11.18","11.304","11.433","11.565","11.695","12.756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUR","53.922","58.486","63.24","67.903","72.327","73.443","74.651","75.925","77.229","78.529","79.828","81.116","82.34","83.43","89.158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUV","0.009","0.009","0.009","0.01","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.011","0.012","0.012","0.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZA","25.204","29.649","33.499","38.45","44.347","45.674","47.053","48.483","49.961","51.483","53.049","54.66","56.313","58.005","79.163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGA","17.354","20.413","23.65","27.685","32.428","33.477","34.559","35.695","36.912","38.225","39.649","41.167","42.729","44.27","59.438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKR","51.463","50.904","48.838","46.891","45.792","45.62","45.454","45.287","45.112","44.922","44.714","44.488","44.246","43.994","40.882","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"URY","3.11","3.224","3.32","3.322","3.359","3.369","3.379","3.389","3.4","3.412","3.424","3.437","3.449","3.462","3.569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USA","252.12","265.164","281.711","294.994","309.011","311.584","314.044","316.401","318.673","320.878","323.016","325.085","327.096","329.065","349.642","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZB","20.398","22.791","24.77","26.428","28.516","28.977","29.449","29.933","30.426","30.93","31.442","31.96","32.476","32.982","37.418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCT","0.107","0.108","0.108","0.109","0.108","0.108","0.108","0.109","0.109","0.109","0.109","0.11","0.11","0.111","0.113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEN","19.633","21.931","24.192","26.432","28.44","28.888","29.361","29.781","30.043","30.082","29.851","29.402","28.887","28.516","33.626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNM","67.989","74.91","79.91","83.833","87.968","88.871","89.802","90.753","91.714","92.677","93.64","94.601","95.546","96.462","104.164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUT","0.147","0.168","0.185","0.209","0.236","0.243","0.25","0.257","0.264","0.271","0.278","0.285","0.293","0.3","0.383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSM","0.163","0.17","0.174","0.18","0.186","0.187","0.189","0.191","0.192","0.194","0.195","0.195","0.196","0.197","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YEM","11.71","14.913","17.409","20.107","23.155","23.808","24.473","25.147","25.823","26.498","27.168","27.835","28.499","29.162","36.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZAF","36.801","41.436","44.968","47.881","51.217","52.004","52.833","53.687","54.544","55.386","56.208","57.01","57.793","58.558","65.956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMB","8.037","9.097","10.416","11.856","13.606","14.023","14.465","14.927","15.4","15.879","16.363","16.854","17.352","17.861","24.326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWE","10.432","11.411","11.881","12.077","12.698","12.894","13.115","13.35","13.587","13.815","14.03","14.237","14.439","14.645","17.596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
