indicator_value__|,1990,indicator_value__|__140606__1991,1992,1993,1994,indicator_value__|__140606__1995,1996,1997,1998,1999,indicator_value__|__140606__2000,2001,2002,2003,2004,indicator_value__|__140606__2005,2006,2007,2008,2009,indicator_value__|__140606__2010,indicator_value__|__140606__2011,indicator_value__|__140606__2012,indicator_value__|__140606__2013,indicator_value__|__140606__2014,indicator_value__|__140606__2015,indicator_value__|__140606__2016,indicator_value__|__140606__2017,indicator_value__|__140606__2018,indicator_value__|__140606__2019
DJI,,10.425,,,,10.68,,,,,10.718,,,,,10.629,,,,,10.681,10.685,10.704,10.729,10.644,10.584,10.51,10.382,10.257,10.295
DNK,,9.099,,,,6.992,,,,,4.476,,,,,4.83,,,,,7.464,7.573,7.526,6.997,6.589,6.168,6.181,5.743,4.975,4.913
DOM,,6.216,,,,6.4,,,,,6.432,,,,,6.587,,,,,5.212,6.087,6.722,7.352,6.719,7.605,7.283,5.832,5.739,5.845
DZA,,20.6,,,,31.84,,,,,29.77,,,,,15.27,,,,,9.96,9.96,10.97,9.82,10.207,11.206,10.202,11.996,11.882,11.704
ECU,,4.598,,,,4.769,,,,,4.799,,,,,3.778,,,,,4.088,3.458,3.235,3.083,3.48,3.616,4.597,3.836,3.53,3.968
EGY,,9.38,,,,11.04,,,,,8.98,,,,,11.2,,,,,8.757,11.849,12.597,13.154,13.105,13.052,12.407,11.737,11.592,10.76
ERI,,5.229,,,,5.413,,,,,5.439,,,,,5.373,,,,,5.41,5.412,5.426,5.444,5.382,5.338,5.285,5.193,5.104,5.144
ESP,,15.929,,,,22.675,,,,,13.785,,,,,9.146,,,,,19.86,21.39,24.787,26.094,24.441,22.057,19.635,17.224,15.255,13.959
EST,,1.468,,,,9.659,,,,,13.36,,,,,8.033,,,,,16.707,12.328,10.021,8.631,7.352,6.187,6.762,5.76,5.366,5.115
ETH,,2.972,,,,3.214,,,,,3.487,,,,,2.497,,,,,2.338,2.304,2.276,2.251,2.218,2.195,2.168,2.12,2.075,2.081
FIN,,6.503,,,,17.005,,,,,11.134,,,,,8.384,,,,,8.394,7.781,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.595
FJI,,3.767,,,,3.908,,,,,3.931,,,,,3.886,,,,,4.32,4.405,4.423,4.445,4.396,4.363,4.319,4.237,4.158,4.101
FRA,,9.134,,,,11.836,,,,,10.217,,,,,8.493,,,,,8.871,8.811,9.4,9.921,10.292,10.359,10.057,9.397,9.059,8.427
GAB,,17.516,,,,17.677,,,,,17.365,,,,,16.91,,,,,20.39,20.396,20.424,20.46,20.343,20.26,20.159,19.982,19.807,20.004
GBR,,8.552,,,,8.694,,,,,5.562,,,,,4.75,,,,,7.787,8.037,7.885,7.525,6.11,5.301,4.813,4.335,3.996,3.851
GEO,,2.7,,,,7.6,,,,,10.82,,,,,13.81,,,,,20.203,19.632,19.653,19.416,17.438,16.506,16.604,13.939,13.785,14.398
GHA,,4.66,,,,6.386,,,,,10.36,,,,,5.521,,,,,5.32,5.619,5.937,6.269,6.527,6.806,5.45,4.223,4.157,4.331
GIN,,4.32,,,,4.475,,,,,4.501,,,,,4.452,,,,,4.487,4.49,4.502,4.518,4.468,4.434,4.392,4.318,4.247,4.296
GMB,,9.154,,,,9.383,,,,,9.42,,,,,9.345,,,,,9.395,9.399,9.417,9.441,9.365,9.313,9.249,9.136,9.027,9.056
GNB,,2.532,,,,2.663,,,,,2.68,,,,,2.631,,,,,2.656,2.658,2.668,2.68,2.635,2.604,2.566,2.5,2.438,2.466
GNQ,,6.521,,,,6.725,,,,,6.754,,,,,6.682,,,,,6.723,6.726,6.741,6.761,6.692,6.644,6.585,6.483,6.383,6.433
GRC,,7.656,,,,9.062,,,,,11.248,,,,,9.994,,,,,12.713,17.865,24.439,27.466,26.491,24.897,23.539,21.488,19.292,17.238
GTM,,2.63,,,,2.745,,,,,2.766,,,,,3.011,,,,,3.497,3.116,2.765,3.017,2.717,2.506,2.583,2.462,2.402,2.459
GUY,,11.824,,,,11.966,,,,,11.813,,,,,11.08,,,,,11.454,11.587,11.738,11.896,11.937,12.004,12.055,12.044,11.906,11.852
HKG,,1.8,,,,3.22,,,,,4.92,,,,,5.58,,,,,4.31,3.42,3.29,3.4,3.3,3.32,3.39,3.09,2.903,3.629
HND,,4.58,,,,3.24,,,,,3.918,,,,,4.909,,,,,4.119,4.474,3.754,4.096,5.488,6.147,6.727,5.528,5.648,5.386
HRV,,11.14,,,,10.452,,,,,16.064,,,,,12.598,,,,,11.62,13.678,15.935,17.251,17.29,16.175,13.103,11.208,8.432,6.935
HTI,,7.011,,,,7.158,,,,,8.226,,,,,14.394,,,,,15.379,14.723,14.1,14.13,14.033,13.965,13.881,13.735,13.592,13.781
HUN,,9.063,,,,10.168,,,,,6.563,,,,,7.189,,,,,11.172,11.029,11.003,10.176,7.725,6.813,5.115,4.156,3.708,3.399
IDN,,2.54,,,,3.916,,,,,6.078,,,,,7.945,,,,,5.614,5.153,4.468,4.336,4.049,4.514,4.301,4.185,4.511,4.687
IND,,5.45,,,,5.636,,,,,5.663,,,,,5.598,,,,,5.636,5.638,5.652,5.671,5.608,5.565,5.511,5.419,5.33,5.355
IRL,,15.775,,,,11.983,,,,,4.318,,,,,4.342,,,,,14.533,15.353,15.451,13.735,11.857,9.906,8.374,6.712,5.74,4.928
IRN,,11.1,,,,9.516,,,,,11.451,,,,,12.1,,,,,13.52,12.45,12.63,10.44,10.57,11.06,12.43,12.1,12.04,11.382
IRQ,,8.795,,,,9.013,,,,,9.046,,,,,8.972,,,,,8.366,8.158,7.965,9.278,10.59,10.713,10.82,13.02,12.862,12.822
ISL,,2.548,,,,5.196,,,,,1.936,,,,,2.547,,,,,7.564,7.028,6,5.376,4.897,3.979,2.978,2.742,2.704,2.842
ISR,,13.387,,,,8.782,,,,,11.102,,,,,11.342,,,,,8.48,7.139,6.857,6.208,5.89,5.251,4.798,4.215,3.998,3.861
ITA,,10.102,,,,11.669,,,,,10.842,,,,,7.731,,,,,8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.61,9.887
JAM,,15.74,,,,16.23,,,,,15.539,,,,,11.263,,,,,12.366,12.7,13.93,15.251,13.74,13.511,13.192,11.634,9.104,8.002
JOR,,19.367,,,,14.6,,,,,13.7,,,,,14.8,,,,,12.5,12.9,12.2,12.6,11.9,13.075,15.275,15.115,14.959,14.715
JPN,,2.1,,,,3.2,,,,,4.7,,,,,4.4,,,,,5.1,4.521,4.3,4,3.6,3.4,3.1,2.8,2.4,2.291
KAZ,,0.9,,,,10.98,,,,,12.75,,,,,8.13,,,,,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.825,4.59
